IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
EMANUELA,KOBIETA,1107
IWONNA,KOBIETA,1106
ZORIANA,KOBIETA,1095
ANIKA,KOBIETA,1091
HANNAH,KOBIETA,1090
SNIZHANA,KOBIETA,1084
INA,KOBIETA,1078
DAJANA,KOBIETA,1077
LUDWINA,KOBIETA,1076
ADOLFINA,KOBIETA,1074
LUDOMIRA,KOBIETA,1072
ELLA,KOBIETA,1068
SABRINA,KOBIETA,1066
NELIA,KOBIETA,1064
VALENTINA,KOBIETA,1062
VLADYSLAVA,KOBIETA,1048
INGRID,KOBIETA,1045
ELZA,KOBIETA,1038
GABRIELLA,KOBIETA,1034
ALIAKSANDRA,KOBIETA,1030
IDALIA,KOBIETA,1022
CARMEN,KOBIETA,1020
ALOJZA,KOBIETA,1006
CAROLINE,KOBIETA,1002
BERENIKA,KOBIETA,992
SYLWESTRA,KOBIETA,989
EUFROZYNA,KOBIETA,984
YAROSLAVA,KOBIETA,965
ELIZABETH,KOBIETA,964
NIKOLETTA,KOBIETA,957
ALICE,KOBIETA,956
ANZHELIKA,KOBIETA,954
RAMONA,KOBIETA,953
NELLY,KOBIETA,952
NAOMI,KOBIETA,947
LILY,KOBIETA,941
DALIA,KOBIETA,941
YEVA,KOBIETA,936
ŻAKLINA,KOBIETA,935
EKATERINA,KOBIETA,929
LEONA,KOBIETA,926
ALICIA,KOBIETA,918
MARIE,KOBIETA,908
EMILA,KOBIETA,898
NADIYA,KOBIETA,884
SWIETŁANA,KOBIETA,882
LINA,KOBIETA,878
EUDOKIA,KOBIETA,875
SYBILLA,KOBIETA,872
ZLATA,KOBIETA,872
BIANCA,KOBIETA,868
MICHAELA,KOBIETA,862
MARGARITA,KOBIETA,861
INKA,KOBIETA,860
LYUDMYLA,KOBIETA,855
HIERONIMA,KOBIETA,851
VIOLETA,KOBIETA,844
FRYDERYKA,KOBIETA,839
LILLY,KOBIETA,838
HERONIMA,KOBIETA,838
ZOIA,KOBIETA,833
ADOLFA,KOBIETA,831
ARINA,KOBIETA,830
SŁAWA,KOBIETA,828
KAYA,KOBIETA,821
ARIANA,KOBIETA,818
HANA,KOBIETA,811
ZENAIDA,KOBIETA,811
MARGARETA,KOBIETA,800
GRACJANA,KOBIETA,796
WINCENTA,KOBIETA,794
BERNARDETA,KOBIETA,779
ELA,KOBIETA,779
SOLOMIIA,KOBIETA,778
VERANIKA,KOBIETA,777
ABIGAIL,KOBIETA,772
LYUBOV,KOBIETA,771
CYRYLA,KOBIETA,770
CAROLINA,KOBIETA,769
ROXANA,KOBIETA,766
ŻANETTA,KOBIETA,758
VASYLYNA,KOBIETA,756
MARGOT,KOBIETA,755
SZARLOTA,KOBIETA,750
AUGUSTA,KOBIETA,746
VERA,KOBIETA,739
LESŁAWA,KOBIETA,728
CRISTINA,KOBIETA,727
MONICA,KOBIETA,726
KARIN,KOBIETA,722
BENITA,KOBIETA,719
YANINA,KOBIETA,719
VARVARA,KOBIETA,713
NARCYZA,KOBIETA,710
KSENIYA,KOBIETA,708
MODESTA,KOBIETA,707
MAIA,KOBIETA,704
DOBRAWA,KOBIETA,702
DOBROCHNA,KOBIETA,693
DINA,KOBIETA,693
ZOE,KOBIETA,693
VALERYIA,KOBIETA,687
ALMA,KOBIETA,684
MELISA,KOBIETA,681
ELISABETH,KOBIETA,680
LUCJANNA,KOBIETA,672
ADELINA,KOBIETA,670
JESIKA,KOBIETA,666
JULITTA,KOBIETA,665
KASANDRA,KOBIETA,663
LEONORA,KOBIETA,656
EUNIKA,KOBIETA,652
AKSANA,KOBIETA,649
MELISSA,KOBIETA,648
EVELINA,KOBIETA,641
VIKTORIYA,KOBIETA,639
ORIANA,KOBIETA,639
RUTH,KOBIETA,636
CLARA,KOBIETA,634
DAGNA,KOBIETA,634
MAIIA,KOBIETA,632
PALINA,KOBIETA,628
ALESIA,KOBIETA,627
DANA,KOBIETA,627
LARISA,KOBIETA,627
JESSIKA,KOBIETA,622
LISA,KOBIETA,620
FATIMA,KOBIETA,620
BIBIANNA,KOBIETA,618
HERTA,KOBIETA,614
RADOSŁAWA,KOBIETA,609
SOFIYA,KOBIETA,608
TAISIIA,KOBIETA,605
GIULIA,KOBIETA,605
NATHALIE,KOBIETA,603
SILVIA,KOBIETA,602
JASMINA,KOBIETA,597
LIZAVETA,KOBIETA,595
PARASKIEWIA,KOBIETA,593
ROZWITA,KOBIETA,592
NELLA,KOBIETA,591
SELENA,KOBIETA,590
WALTRAUDA,KOBIETA,590
RYTA,KOBIETA,586
AURORA,KOBIETA,584
KRYSTSINA,KOBIETA,582
JASMIN,KOBIETA,580
LILIYA,KOBIETA,578
LEILA,KOBIETA,577
ELISA,KOBIETA,575
ALBERTYNA,KOBIETA,571
CHARLOTTE,KOBIETA,567
MARIETA,KOBIETA,564
ANICETA,KOBIETA,558
MARIAM,KOBIETA,556
LILI,KOBIETA,555
TAISA,KOBIETA,554
NIKOLINA,KOBIETA,552
IRMGARD,KOBIETA,551
MIŁOSŁAWA,KOBIETA,550
SYLVIA,KOBIETA,549
WŁODZIMIERA,KOBIETA,548
AGNES,KOBIETA,548
ROKSOLANA,KOBIETA,545
INGRIDA,KOBIETA,545
NADZEYA,KOBIETA,543
ELINA,KOBIETA,543
SAMANTHA,KOBIETA,541
AMINA,KOBIETA,538
NIKA,KOBIETA,537
DIONIZA,KOBIETA,533
IZOLDA,KOBIETA,532
ILZA,KOBIETA,531
LETYCJA,KOBIETA,530
MELANIE,KOBIETA,530
CATHERINE,KOBIETA,527
DOBROMIŁA,KOBIETA,522
DELFINA,KOBIETA,520
MIRANDA,KOBIETA,519
LAILA,KOBIETA,518
NATASHA,KOBIETA,516
NELL,KOBIETA,515
HILDA,KOBIETA,513
LIANA,KOBIETA,511
ALIONA,KOBIETA,510
EDMUNDA,KOBIETA,509
LUCIA,KOBIETA,508
ELVIRA,KOBIETA,508
WERA,KOBIETA,506
VIVIEN,KOBIETA,505
VITALINA,KOBIETA,504
GUSTAWA,KOBIETA,503
JULIANA,KOBIETA,502
MARTHA,KOBIETA,499
WIELISŁAWA,KOBIETA,499
WALBURGA,KOBIETA,497
NIKOLETA,KOBIETA,494
FILIPINA,KOBIETA,488
KATHERINE,KOBIETA,488
KATHARINA,KOBIETA,486
LUBOW,KOBIETA,485
FRYDA,KOBIETA,484
LIA,KOBIETA,484
SUSANNA,KOBIETA,482
AURELA,KOBIETA,479
TAMAR,KOBIETA,478
IZYDORA,KOBIETA,478
HALSZKA,KOBIETA,467
NOA,KOBIETA,467
KAREN,KOBIETA,466
SATURNINA,KOBIETA,464
LUKRECJA,KOBIETA,462
JOLENTA,KOBIETA,461
